total_sleep_time,total_active_time,total_flow_volume,flow_rate,avg_packet_size,num_servers,num_protocols,uniq_dns,dns_interval,ntp_interval,device_co
88,523,2753,5.263862332695985,19.94927536231884,2,4,1,0,0,1
66,544,2496,4.588235294117647,17.82857142857143,2,4,1,0,0,1
107,524,2621,5.001908396946565,20.00763358778626,2,3,1,0,0,1
162,529,3492,6.601134215500945,25.676470588235293,2,5,1,0,0,1
85,539,3055,5.667903525046382,20.924657534246574,2,4,1,0,0,1
95,560,2592,4.628571428571429,19.636363636363637,2,4,1,0,0,1
72,542,2885,5.322878228782288,21.21323529411765,2,4,1,0,0,1
76,509,2746,5.394891944990177,20.9618320610687,2,4,1,0,0,1
104,571,3180,5.5691768826619965,21.2,2,4,1,0,0,1
83,531,3024,5.694915254237288,21.295774647887324,2,4,1,0,0,1
73,539,2872,5.328385899814471,20.514285714285716,2,4,1,0,0,1
127,556,3074,5.528776978417266,21.34722222222222,2,5,1,0,0,1
72,514,2869,5.581712062256809,20.94160583941606,2,4,1,0,0,1
90,541,2763,5.10720887245841,20.619402985074625,2,4,1,0,0,1
79,544,2641,4.854779411764706,18.864285714285714,2,4,1,0,0,1
113,539,2610,4.842300556586271,19.333333333333332,2,4,1,0,0,1
106,526,2902,5.517110266159696,21.182481751824817,2,4,1,0,0,1
82,517,2609,5.04642166344294,20.224806201550386,2,4,1,0,0,1
76,552,2902,5.257246376811594,20.581560283687942,2,4,1,0,0,1
104,531,2834,5.337099811676083,20.536231884057973,2,4,1,0,0,1
99,555,2750,4.954954954954955,19.642857142857142,2,4,1,0,0,1
97,498,3501,7.030120481927711,25.18705035971223,2,5,1,0,0,1
83,539,2649,4.914656771799629,18.395833333333332,2,3,0,0,0,1
132,530,3281,6.190566037735849,22.78472222222222,2,5,1,0,0,1
86,536,3797,7.083955223880597,26.929078014184398,3,6,1,0,0,1
82,526,2836,5.391634980988593,20.402877697841728,3,5,1,0,0,1
74,531,3040,5.725047080979285,21.714285714285715,3,4,1,0,0,1
92,517,3306,6.394584139264991,22.33783783783784,3,4,1,0,0,1
78,535,2868,5.360747663551402,21.402985074626866,3,4,1,0,0,1
77,562,2818,5.01423487544484,21.029850746268657,3,4,1,0,0,1
109,546,2664,4.8791208791208796,19.165467625899282,3,4,1,0,0,1
70,560,3041,5.430357142857143,20.828767123287673,3,4,1,0,0,1
91,587,2764,4.7086882453151615,19.602836879432623,3,4,1,0,0,1
87,545,3037,5.572477064220183,22.496296296296297,3,4,1,0,0,1
94,559,2591,4.635062611806798,19.93076923076923,3,4,1,0,0,1
119,575,2633,4.579130434782608,18.034246575342465,3,4,1,0,0,1
83,563,3075,5.461811722912966,21.20689655172414,3,5,1,0,0,1
66,559,2748,4.915921288014311,20.205882352941178,3,4,1,0,0,1
84,504,3159,6.267857142857143,24.488372093023255,3,5,1,0,0,1
60,555,2215,3.990990990990991,16.908396946564885,3,3,0,0,0,1
129,561,3393,6.048128342245989,23.8943661971831,3,5,1,0,0,1
84,505,2629,5.205940594059406,20.37984496124031,3,4,1,0,0,1
99,527,2757,5.2314990512333965,21.5390625,3,4,1,0,0,1
78,535,3051,5.702803738317757,22.27007299270073,3,4,1,0,0,1
76,516,2827,5.478682170542636,21.416666666666668,3,4,1,0,0,1
87,557,2981,5.351885098743267,21.759124087591243,3,4,1,0,0,1
88,565,2915,5.15929203539823,20.103448275862068,3,4,1,0,0,1
79,508,2484,4.889763779527559,19.40625,3,4,1,0,0,1
73,537,2913,5.424581005586592,21.26277372262774,3,4,1,0,0,1
114,534,2610,4.887640449438202,19.772727272727273,3,4,1,0,0,1
87,504,3029,6.009920634920635,21.330985915492956,3,4,1,0,0,1
116,542,3164,5.837638376383764,22.281690140845072,3,4,1,0,0,1
66,539,3010,5.584415584415584,22.296296296296298,3,4,1,0,0,1
105,550,2887,5.249090909090909,21.227941176470587,3,4,1,0,0,1
73,522,2884,5.524904214559387,21.68421052631579,3,4,1,0,0,1
119,557,3214,5.770197486535009,21.426666666666666,3,5,1,0,0,1
80,576,2888,5.013888888888889,19.917241379310344,3,4,1,0,0,1
94,523,3024,5.782026768642448,21.0,3,4,1,0,0,1
70,545,2763,5.0697247706422015,20.774436090225564,3,4,1,0,0,1
66,515,2623,5.093203883495145,20.022900763358777,3,4,1,0,0,1
